date,planned_time,channel,campaign_code,focus,media_asset,landing_url,publish_status,published_url,qualified_whatsapp_leads,quotes_sent,orders_paid,revenue_mxn,median_first_response_minutes,owner_notes
2026-08-21,10:30,facebook,daily_20260821_fundas_rotacion_rapida,Fundas,assets/images/home-categories/fundas-accesorios.jpg,https://haode.com.mx/fundas-celular-mayoreo-mexico/?utm_source=facebook&utm_medium=social&utm_campaign=daily_20260821_fundas_rotacion_rapida&utm_content=fundas_rotacion_rapida,pending,,,,,,,
2026-08-21,13:00,instagram,daily_20260821_fundas_rotacion_rapida,Fundas,assets/images/home-categories/fundas-accesorios.jpg,https://haode.com.mx/fundas-celular-mayoreo-mexico/?utm_source=instagram&utm_medium=social&utm_campaign=daily_20260821_fundas_rotacion_rapida&utm_content=fundas_rotacion_rapida,pending,,,,,,,
2026-08-21,18:00,whatsapp,daily_20260821_fundas_rotacion_rapida,Fundas,assets/images/home-categories/fundas-accesorios.jpg,https://haode.com.mx/fundas-celular-mayoreo-mexico/?utm_source=whatsapp&utm_medium=referral&utm_campaign=daily_20260821_fundas_rotacion_rapida&utm_content=fundas_rotacion_rapida,pending,,,,,,,
2026-08-22,10:30,facebook,daily_20260822_iphone_incell_mayoreo,iPhone INCELL,assets/products/iphone-incell/main.jpg,https://haode.com.mx/pantallas-iphone-incell-mayoreo-mexico/?utm_source=facebook&utm_medium=social&utm_campaign=daily_20260822_iphone_incell_mayoreo&utm_content=iphone_incell_mayoreo,pending,,,,,,,
2026-08-22,13:00,instagram,daily_20260822_iphone_incell_mayoreo,iPhone INCELL,assets/products/iphone-incell/main.jpg,https://haode.com.mx/pantallas-iphone-incell-mayoreo-mexico/?utm_source=instagram&utm_medium=social&utm_campaign=daily_20260822_iphone_incell_mayoreo&utm_content=iphone_incell_mayoreo,pending,,,,,,,
2026-08-22,16:00,tiktok,daily_20260822_iphone_incell_mayoreo,iPhone INCELL,assets/products/iphone-incell/main.jpg,https://haode.com.mx/pantallas-iphone-incell-mayoreo-mexico/?utm_source=tiktok&utm_medium=social&utm_campaign=daily_20260822_iphone_incell_mayoreo&utm_content=iphone_incell_mayoreo,pending,,,,,,,
2026-08-22,18:00,whatsapp,daily_20260822_iphone_incell_mayoreo,iPhone INCELL,assets/products/iphone-incell/main.jpg,https://haode.com.mx/pantallas-iphone-incell-mayoreo-mexico/?utm_source=whatsapp&utm_medium=referral&utm_campaign=daily_20260822_iphone_incell_mayoreo&utm_content=iphone_incell_mayoreo,pending,,,,,,,
2026-08-22,10:30,facebook,daily_20260822_iphone_mayoreo,iPhone mayoreo,assets/products/iphone-incell/main.jpg,https://haode.com.mx/pantallas-iphone-mayoreo-mexico/?utm_source=facebook&utm_medium=social&utm_campaign=daily_20260822_iphone_mayoreo&utm_content=iphone_mayoreo,pending,,,,,,,
2026-08-22,13:00,instagram,daily_20260822_iphone_mayoreo,iPhone mayoreo,assets/products/iphone-incell/main.jpg,https://haode.com.mx/pantallas-iphone-mayoreo-mexico/?utm_source=instagram&utm_medium=social&utm_campaign=daily_20260822_iphone_mayoreo&utm_content=iphone_mayoreo,pending,,,,,,,
2026-08-22,18:00,whatsapp,daily_20260822_iphone_mayoreo,iPhone mayoreo,assets/products/iphone-incell/main.jpg,https://haode.com.mx/pantallas-iphone-mayoreo-mexico/?utm_source=whatsapp&utm_medium=referral&utm_campaign=daily_20260822_iphone_mayoreo&utm_content=iphone_mayoreo,pending,,,,,,,
2026-08-23,10:30,facebook,daily_20260823_samsung_incell_con_marco,Samsung INCELL,assets/products/samsung-incell/main.jpg,https://haode.com.mx/pantallas-samsung-incell-mayoreo-mexico/?utm_source=facebook&utm_medium=social&utm_campaign=daily_20260823_samsung_incell_con_marco&utm_content=samsung_incell_con_marco,pending,,,,,,,
2026-08-23,18:00,whatsapp,daily_20260823_samsung_incell_con_marco,Samsung INCELL,assets/products/samsung-incell/main.jpg,https://haode.com.mx/pantallas-samsung-incell-mayoreo-mexico/?utm_source=whatsapp&utm_medium=referral&utm_campaign=daily_20260823_samsung_incell_con_marco&utm_content=samsung_incell_con_marco,pending,,,,,,,
2026-08-24,09:30,google_business,daily_20260824_x200t_cortadora_micas,Micas de hidrogel,assets/products/cut-machine/x200t/main.jpg,https://haode.com.mx/micas-hidrogel-mayoreo-mexico/?utm_source=google_business&utm_medium=organic&utm_campaign=daily_20260824_x200t_cortadora_micas&utm_content=x200t_cortadora_micas,pending,,,,,,,
2026-08-24,10:30,facebook,daily_20260824_x200t_cortadora_micas,Micas de hidrogel,assets/products/cut-machine/x200t/main.jpg,https://haode.com.mx/micas-hidrogel-mayoreo-mexico/?utm_source=facebook&utm_medium=social&utm_campaign=daily_20260824_x200t_cortadora_micas&utm_content=x200t_cortadora_micas,pending,,,,,,,
2026-08-24,18:00,whatsapp,daily_20260824_x200t_cortadora_micas,Micas de hidrogel,assets/products/cut-machine/x200t/main.jpg,https://haode.com.mx/micas-hidrogel-mayoreo-mexico/?utm_source=whatsapp&utm_medium=referral&utm_campaign=daily_20260824_x200t_cortadora_micas&utm_content=x200t_cortadora_micas,pending,,,,,,,
2026-08-25,13:00,instagram,daily_20260825_gafas_inteligentes_ai,Gafas inteligentes AI,assets/products/productos-ai/w630-ai-smart-glasses/main.jpg,https://haode.com.mx/categoria/gafas-inteligentes-ai/?utm_source=instagram&utm_medium=social&utm_campaign=daily_20260825_gafas_inteligentes_ai&utm_content=gafas_inteligentes_ai,pending,,,,,,,
2026-08-25,16:00,tiktok,daily_20260825_gafas_inteligentes_ai,Gafas inteligentes AI,assets/products/productos-ai/w630-ai-smart-glasses/main.jpg,https://haode.com.mx/categoria/gafas-inteligentes-ai/?utm_source=tiktok&utm_medium=social&utm_campaign=daily_20260825_gafas_inteligentes_ai&utm_content=gafas_inteligentes_ai,pending,,,,,,,
2026-08-25,18:00,whatsapp,daily_20260825_gafas_inteligentes_ai,Gafas inteligentes AI,assets/products/productos-ai/w630-ai-smart-glasses/main.jpg,https://haode.com.mx/categoria/gafas-inteligentes-ai/?utm_source=whatsapp&utm_medium=referral&utm_campaign=daily_20260825_gafas_inteligentes_ai&utm_content=gafas_inteligentes_ai,pending,,,,,,,
2026-08-26,10:30,facebook,daily_20260826_app_catalogo_haode,Catálogo App,assets/images/factory-store-hero-products.png,https://haode.com.mx/app/?utm_source=facebook&utm_medium=social&utm_campaign=daily_20260826_app_catalogo_haode&utm_content=app_catalogo_haode#lista,pending,,,,,,,
2026-08-26,13:00,instagram,daily_20260826_app_catalogo_haode,Catálogo App,assets/images/factory-store-hero-products.png,https://haode.com.mx/app/?utm_source=instagram&utm_medium=social&utm_campaign=daily_20260826_app_catalogo_haode&utm_content=app_catalogo_haode#lista,pending,,,,,,,
2026-08-26,18:00,whatsapp,daily_20260826_app_catalogo_haode,Catálogo App,assets/images/factory-store-hero-products.png,https://haode.com.mx/app/?utm_source=whatsapp&utm_medium=referral&utm_campaign=daily_20260826_app_catalogo_haode&utm_content=app_catalogo_haode#lista,pending,,,,,,,
2026-08-27,09:30,google_business,daily_20260827_distribuidores_haode,Distribuidores,assets/images/factory-store-storefront.png,https://haode.com.mx/distribuidores/?utm_source=google_business&utm_medium=organic&utm_campaign=daily_20260827_distribuidores_haode&utm_content=distribuidores_haode,pending,,,,,,,
2026-08-27,10:30,facebook,daily_20260827_distribuidores_haode,Distribuidores,assets/images/factory-store-storefront.png,https://haode.com.mx/distribuidores/?utm_source=facebook&utm_medium=social&utm_campaign=daily_20260827_distribuidores_haode&utm_content=distribuidores_haode,pending,,,,,,,
2026-08-27,18:00,whatsapp,daily_20260827_distribuidores_haode,Distribuidores,assets/images/factory-store-storefront.png,https://haode.com.mx/distribuidores/?utm_source=whatsapp&utm_medium=referral&utm_campaign=daily_20260827_distribuidores_haode&utm_content=distribuidores_haode,pending,,,,,,,
2026-08-28,09:30,google_business,daily_20260828_refacciones_mayoreo_mexico,Mayoreo México,assets/images/factory-store-warehouse.png,https://haode.com.mx/refacciones-celulares-mayoreo-mexico/?utm_source=google_business&utm_medium=organic&utm_campaign=daily_20260828_refacciones_mayoreo_mexico&utm_content=refacciones_mayoreo_mexico,pending,,,,,,,
2026-08-28,10:30,facebook,daily_20260828_refacciones_mayoreo_mexico,Mayoreo México,assets/images/factory-store-warehouse.png,https://haode.com.mx/refacciones-celulares-mayoreo-mexico/?utm_source=facebook&utm_medium=social&utm_campaign=daily_20260828_refacciones_mayoreo_mexico&utm_content=refacciones_mayoreo_mexico,pending,,,,,,,
2026-08-28,18:00,whatsapp,daily_20260828_refacciones_mayoreo_mexico,Mayoreo México,assets/images/factory-store-warehouse.png,https://haode.com.mx/refacciones-celulares-mayoreo-mexico/?utm_source=whatsapp&utm_medium=referral&utm_campaign=daily_20260828_refacciones_mayoreo_mexico&utm_content=refacciones_mayoreo_mexico,pending,,,,,,,
2026-08-29,10:30,facebook,daily_20260829_samsung_oled_mayoreo,Samsung OLED,assets/products/samsung-oled/main.jpg,https://haode.com.mx/app/?utm_source=facebook&utm_medium=social&utm_campaign=daily_20260829_samsung_oled_mayoreo&utm_content=samsung_oled_mayoreo#categoria/Pantallas%20Samsung%20OLED,pending,,,,,,,
2026-08-29,13:00,instagram,daily_20260829_samsung_oled_mayoreo,Samsung OLED,assets/products/samsung-oled/main.jpg,https://haode.com.mx/app/?utm_source=instagram&utm_medium=social&utm_campaign=daily_20260829_samsung_oled_mayoreo&utm_content=samsung_oled_mayoreo#categoria/Pantallas%20Samsung%20OLED,pending,,,,,,,
2026-08-29,18:00,whatsapp,daily_20260829_samsung_oled_mayoreo,Samsung OLED,assets/products/samsung-oled/main.jpg,https://haode.com.mx/app/?utm_source=whatsapp&utm_medium=referral&utm_campaign=daily_20260829_samsung_oled_mayoreo&utm_content=samsung_oled_mayoreo#categoria/Pantallas%20Samsung%20OLED,pending,,,,,,,
